Date,Open,High,Low,Close,Adj Close,Volume
2022-02-15,13997.1796875,14142.490234375,13976.2900390625,14139.759765625,14139.759765625,4393050000
2022-02-16,14038.919921875,14163.73046875,13931.990234375,14124.08984375,14124.08984375,4224060000
2022-02-17,14004.1904296875,14020.8203125,13704.7001953125,13716.7197265625,13716.7197265625,4259890000
2022-02-18,13735.400390625,13762.400390625,13465.5595703125,13548.0703125,13548.0703125,4475010000
2022-02-22,13424.3603515625,13618.7197265625,13249.650390625,13381.51953125,13381.51953125,4830920000
2022-02-23,13511.75,13533.7802734375,13032.169921875,13037.490234375,13037.490234375,4614090000
2022-02-24,12587.8798828125,13486.1103515625,12587.8798828125,13473.58984375,13473.58984375,6131410000
2022-02-25,13485.259765625,13696.8603515625,13358.2900390625,13694.6201171875,13694.6201171875,4614110000
2022-02-28,13570.830078125,13810.6396484375,13549.900390625,13751.400390625,13751.400390625,5894130000
2022-03-01,13716.7001953125,13777.0400390625,13441.3203125,13532.4599609375,13532.4599609375,6094490000
2022-03-02,13597.5302734375,13796.5498046875,13493.91015625,13752.01953125,13752.01953125,5229480000
2022-03-03,13837.58984375,13837.58984375,13472.6396484375,13537.9404296875,13537.9404296875,5058590000
2022-03-04,13455.23046875,13486.7099609375,13224.98046875,13313.4404296875,13313.4404296875,5319630000
2022-03-07,13328.3603515625,13353.2802734375,12828.01953125,12830.9599609375,12830.9599609375,6163580000
2022-03-08,12800.0400390625,13159.4404296875,12670.080078125,12795.5498046875,12795.5498046875,6631820000
2022-03-09,13113.7001953125,13301.16015625,13039.7900390625,13255.5498046875,13255.5498046875,5377120000
2022-03-10,13098.349609375,13163.5,12946.2802734375,13129.9599609375,13129.9599609375,5034030000
2022-03-11,13229.76953125,13239.349609375,12830.3701171875,12843.8095703125,12843.8095703125,5250230000
2022-03-14,12795.1201171875,12918.009765625,12555.349609375,12581.2197265625,12581.2197265625,5853360000
2022-03-15,12685.23046875,12973.8798828125,12616.58984375,12948.6201171875,12948.6201171875,5414590000
2022-03-16,13119.3701171875,13440.1201171875,12992.2001953125,13436.5498046875,13436.5498046875,6498110000
2022-03-17,13360.7197265625,13620.7998046875,13317.1396484375,13614.7802734375,13614.7802734375,5575030000
2022-03-18,13564.6298828125,13899.2802734375,13528.0595703125,13893.83984375,13893.83984375,8109950000
2022-03-21,13860.3896484375,13945.8095703125,13682.5498046875,13838.4599609375,13838.4599609375,5636000000
2022-03-22,13866.4296875,14141.0703125,13857.2900390625,14108.8203125,14108.8203125,5400360000
2022-03-23,13990.349609375,14152.1396484375,13921.650390625,13922.599609375,13922.599609375,4995470000
2022-03-24,14001.3203125,14193.5498046875,13897.2001953125,14191.83984375,14191.83984375,5046250000
2022-03-25,14194.7197265625,14218.759765625,14010.7900390625,14169.2998046875,14169.2998046875,5553860000
2022-03-28,14177.2099609375,14356.0,14101.33984375,14354.900390625,14354.900390625,5086120000
2022-03-29,14500.3896484375,14646.900390625,14419.400390625,14619.6396484375,14619.6396484375,6031870000
2022-03-30,14558.58984375,14609.25,14383.4501953125,14442.26953125,14442.26953125,5439980000
2022-03-31,14444.7802734375,14456.740234375,14217.7197265625,14220.51953125,14220.51953125,5427030000
2022-04-01,14269.5302734375,14306.9404296875,14131.8095703125,14261.5,14261.5,4984050000
2022-04-04,14304.349609375,14534.3798828125,14286.4501953125,14532.5498046875,14532.5498046875,4598480000
2022-04-05,14490.259765625,14500.2900390625,14169.1201171875,14204.169921875,14204.169921875,4707090000
2022-04-06,14002.580078125,14032.83984375,13788.900390625,13888.8203125,13888.8203125,5265740000
2022-04-07,13861.490234375,13978.25,13689.23046875,13897.2998046875,13897.2998046875,4822420000
2022-04-08,13830.4697265625,13866.0595703125,13693.6904296875,13711.0,13711.0,4554890000
2022-04-11,13547.2900390625,13585.080078125,13401.3896484375,13411.9599609375,13411.9599609375,4916860000
2022-04-12,13584.6904296875,13685.9501953125,13317.740234375,13371.5703125,13371.5703125,4965220000
2022-04-13,13373.1201171875,13679.4296875,13353.66015625,13643.58984375,13643.58984375,4887660000
2022-04-14,13647.4296875,13662.9296875,13345.2197265625,13351.080078125,13351.080078125,4623410000
2022-04-18,13319.3896484375,13414.26953125,13222.0302734375,13332.3603515625,13332.3603515625,4350150000
2022-04-19,13312.4404296875,13643.9697265625,13281.2197265625,13619.66015625,13619.66015625,4527480000
2022-04-20,13665.3798828125,13678.5498046875,13426.1298828125,13453.0703125,13453.0703125,4639440000
