Datetime,S&P,DowJones,NASDAQ
2022-01-20 09:30:00-05:00,4584.0400390625,35396.51953125,14579.4580078125
2022-01-20 10:30:00-05:00,4602.10986328125,35490.19921875,14642.02734375
2022-01-20 11:30:00-05:00,4596.7998046875,35467.921875,14610.0771484375
2022-01-20 12:30:00-05:00,4592.8701171875,35412.62109375,14603.63671875
2022-01-20 13:30:00-05:00,4579.9599609375,35340.671875,14534.298828125
2022-01-20 14:30:00-05:00,4558.509765625,35202.1484375,14447.697265625
2022-01-20 15:30:00-05:00,4522.2998046875,35007.640625,14288.2724609375
2022-01-21 09:30:00-05:00,4479.58984375,34786.4609375,14129.01953125
2022-01-21 10:30:00-05:00,4494.52001953125,34896.671875,14171.490234375
2022-01-21 11:30:00-05:00,4489.31982421875,34845.5703125,14148.9736328125
2022-01-21 12:30:00-05:00,4456.97021484375,34641.26171875,14016.603515625
2022-01-21 13:30:00-05:00,4451.39013671875,34616.8203125,13992.98046875
2022-01-21 14:30:00-05:00,4436.14990234375,34510.5390625,13934.623046875
2022-01-21 15:30:00-05:00,4426.0498046875,34433.828125,13901.822265625
2022-01-24 09:30:00-05:00,4356.31982421875,34070.609375,13579.6611328125
2022-01-24 10:30:00-05:00,4321.9501953125,33848.640625,13484.51953125
2022-01-24 11:30:00-05:00,4293.16015625,33621.3515625,13366.66796875
2022-01-24 12:30:00-05:00,4306.240234375,33645.8984375,13466.4716796875
2022-01-24 13:30:00-05:00,4344.009765625,33885.109375,13619.662109375
2022-01-24 14:30:00-05:00,4353.47998046875,33952.6484375,13669.5986328125
2022-01-24 15:30:00-05:00,4417.35009765625,34420.98828125,13875.806640625
2022-01-25 09:30:00-05:00,4366.64013671875,34186.640625,13682.5458984375
2022-01-25 10:30:00-05:00,4353.1201171875,34128.4609375,13607.408203125
2022-01-25 11:30:00-05:00,4341.77001953125,34121.828125,13514.3681640625
2022-01-25 12:30:00-05:00,4349.81005859375,34168.05859375,13555.6494140625
2022-01-25 13:30:00-05:00,4391.83984375,34431.55859375,13711.0478515625
2022-01-25 14:30:00-05:00,4411.009765625,34591.0390625,13781.623046875
2022-01-25 15:30:00-05:00,4381.5498046875,34412.46875,13659.6982421875
2022-01-26 09:30:00-05:00,4444.830078125,34815.671875,13901.9423828125
2022-01-26 10:30:00-05:00,4424.009765625,34669.2109375,13834.3701171875
2022-01-26 11:30:00-05:00,4429.919921875,34682.37890625,13878.4228515625
2022-01-26 12:30:00-05:00,4435.3701171875,34689.37109375,13921.5166015625
2022-01-26 13:30:00-05:00,4453.22998046875,34805.25,14002.650390625
2022-01-26 14:30:00-05:00,4433.52978515625,34634.7109375,13903.7998046875
2022-01-26 15:30:00-05:00,4358.009765625,34222.1015625,13572.3193359375
2022-01-27 09:30:00-05:00,4428.740234375,34773.3203125,13764.326171875
2022-01-27 10:30:00-05:00,4416.9501953125,34737.23828125,13696.212890625
2022-01-27 11:30:00-05:00,4410.43017578125,34684.94140625,13688.0810546875
2022-01-27 12:30:00-05:00,4369.169921875,34418.01171875,13525.9072265625
2022-01-27 13:30:00-05:00,4355.259765625,34306.08984375,13501.0537109375
2022-01-27 14:30:00-05:00,4343.0400390625,34238.859375,13434.390625
2022-01-27 15:30:00-05:00,4352.91015625,34327.05859375,13449.59765625
2022-01-28 09:30:00-05:00,4342.990234375,34242.71875,13451.4541015625
2022-01-28 10:30:00-05:00,4370.02978515625,34264.80078125,13585.791015625
2022-01-28 11:30:00-05:00,4387.89013671875,34407.390625,13643.048828125
2022-01-28 12:30:00-05:00,4377.68017578125,34348.359375,13594.2919921875
2022-01-28 13:30:00-05:00,4383.4599609375,34411.12890625,13595.556640625
2022-01-28 14:30:00-05:00,4391.0,34476.69140625,13612.82421875
2022-01-28 15:30:00-05:00,4432.72021484375,34731.76953125,13770.5224609375
2022-01-31 09:30:00-05:00,4472.02001953125,34844.0,14049.9482421875
2022-01-31 10:30:00-05:00,4468.830078125,34787.71875,14066.70703125
2022-01-31 11:30:00-05:00,4483.18017578125,34892.609375,14110.5234375
2022-01-31 12:30:00-05:00,4489.35009765625,34974.69140625,14123.26171875
2022-01-31 13:30:00-05:00,4497.7099609375,35003.19140625,14150.62890625
2022-01-31 14:30:00-05:00,4497.93017578125,35011.28125,14153.43359375
2022-01-31 15:30:00-05:00,4516.89013671875,35148.140625,14242.8984375
2022-02-01 09:30:00-05:00,4525.56005859375,35228.609375,14269.431640625
2022-02-01 10:30:00-05:00,4522.27001953125,35200.08984375,14269.0458984375
2022-02-01 11:30:00-05:00,4523.93994140625,35179.5390625,14295.580078125
2022-02-01 12:30:00-05:00,4518.81005859375,35159.6796875,14261.185546875
2022-02-01 13:30:00-05:00,4522.60986328125,35215.12890625,14257.7734375
2022-02-01 14:30:00-05:00,4538.02978515625,35350.44921875,14296.240234375
2022-02-01 15:30:00-05:00,4550.490234375,35441.08984375,14358.6025390625
2022-02-02 09:30:00-05:00,4578.43017578125,35507.33984375,14504.3271484375
2022-02-02 10:30:00-05:00,4571.47998046875,35448.390625,14411.013671875
2022-02-02 11:30:00-05:00,4573.64990234375,35498.12109375,14382.95703125
2022-02-02 12:30:00-05:00,4582.4599609375,35566.21875,14428.3857421875
2022-02-02 13:30:00-05:00,4582.0400390625,35584.1484375,14401.8525390625
2022-02-02 14:30:00-05:00,4594.18017578125,35662.1015625,14443.4873046875
2022-02-02 15:30:00-05:00,4595.31005859375,35679.19921875,14433.4453125
2022-02-03 09:30:00-05:00,4540.830078125,35535.94140625,14198.5927734375
2022-02-03 10:30:00-05:00,4542.8798828125,35444.94140625,14207.09375
2022-02-03 11:30:00-05:00,4530.64990234375,35402.69140625,14109.1572265625
2022-02-03 12:30:00-05:00,4519.22998046875,35369.23046875,14071.4951171875
2022-02-03 13:30:00-05:00,4520.33984375,35387.30078125,14082.130859375
2022-02-03 14:30:00-05:00,4509.16015625,35309.6015625,14019.970703125
2022-02-03 15:30:00-05:00,4499.75,35240.94140625,13978.0458984375
2022-02-04 09:30:00-05:00,4500.06982421875,35170.76171875,14059.0751953125
2022-02-04 10:30:00-05:00,4482.56005859375,34983.37890625,14009.7060546875
2022-02-04 11:30:00-05:00,4490.240234375,35060.87890625,14028.1240234375
2022-02-04 12:30:00-05:00,4516.330078125,35187.05859375,14134.7822265625
2022-02-04 13:30:00-05:00,4520.5,35203.609375,14158.400390625
2022-02-04 14:30:00-05:00,4539.66015625,35333.55078125,14222.7060546875
2022-02-04 15:30:00-05:00,4538.06982421875,35333.53125,14217.8271484375
2022-02-07 09:30:00-05:00,4516.06005859375,35166.51171875,14234.095703125
2022-02-07 10:30:00-05:00,4520.669921875,35226.16015625,14198.6611328125
2022-02-07 11:30:00-05:00,4504.669921875,35155.51171875,14112.4287109375
2022-02-07 12:30:00-05:00,4503.72021484375,35179.6484375,14105.5185546875
2022-02-07 13:30:00-05:00,4513.08984375,35274.1796875,14127.8369140625
2022-02-07 14:30:00-05:00,4521.85986328125,35325.01171875,14165.943359375
2022-02-07 15:30:00-05:00,4507.259765625,35240.08984375,14102.361328125
2022-02-08 09:30:00-05:00,4486.60986328125,35228.5703125,14043.3203125
2022-02-08 10:30:00-05:00,4505.919921875,35327.80078125,14128.5595703125
2022-02-08 11:30:00-05:00,4517.35009765625,35422.55078125,14159.484375
2022-02-08 12:30:00-05:00,4525.10986328125,35456.33984375,14205.802734375
